,HUBB
% Below High,0.011699999999999999
% Held by Institutions,0.9185
52-Wk Range,['170.21 - 261.59']
Annual Dividend $,4.48
Annual Dividend %,0.0173
Ask,415.13
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,234.7
Bid Size,100.0
Closing Price,258.52
Day Change $,2.44
Day Change %,0.0095
Day High,260.24
Day Low,256.06
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.67
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.298
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.81
Prev Close,256.08
Shares Outstanding,53.7M
Short Interest,0.0194
Today's Open,256.74
Volume,171311.0
Volume 10-day Avg,431693.0
Volume Past Day,(Light)
