,HUBB
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.23952095808383245
Growth 1yr High Est,0.23231132075471694
Growth 1yr Consensus Est,0.2359161394192747
Growth 2yr Low Est,0.1361855998148631
Growth 2yr High Est,0.1783566173151575
Growth 2yr Consensus Est,0.1572711085650103
Growth 5yr Low Est,0.07945902654317713
Growth 5yr High Est,0.1021224670032023
Growth 5yr Consensus Est,0.09079074677318971
Growth 5yr Actual/Est,0.08801777305572445
Growth 3yr Historic,-0.0011242965023330331
