,HUBB
Price/Earnings (TTM),29.81377
Price/Sales (TTM),3.12802
Price/Book (MRQ),5.98785
Price/Cash Flow (TTM),22.69374
5yr Low,85.62
5yr High,261.59
5yr Avg Return,0.15626666666666666
EPS Growth 5yr,0.04867200000000001
Revenue Growth 5yr,0.0365379
Dividend Growth 5yr,0.0923885
Short Int Current Month,1035485.0
Short Int Prev Month,811343.0
Short Int Pct of Float,0.0193666
Days to Cover,1.87179
Float,53.45248
Shares Outstanding,53.70583
Institutions Holding Shares,638.0
% Held by Institutions,0.918522
FCF Growth 5yr,-0.49908913684927647
