,FHI
Price/Earnings (TTM),13.66001
Price/Sales (TTM),2.40758
Price/Book (MRQ),3.45379
Price/Cash Flow (TTM),12.31262
5yr Low,13.06
5yr High,39.82
5yr Avg Return,0.049816666666666676
EPS Growth 5yr,0.0638475
Revenue Growth 5yr,0.026079699999999997
Dividend Growth 5yr,0.015511299999999999
Short Int Current Month,1378424.0
Short Int Prev Month,2094345.0
Short Int Pct of Float,0.0163554
Days to Cover,1.93381
Float,84.83532
Shares Outstanding,88.99507
Institutions Holding Shares,363.0
% Held by Institutions,0.806161
FCF Growth 5yr,-1.4391231592147544
