,FHI
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.02919708029197088
Growth 1yr High Est,-0.04123711340206193
Growth 1yr Consensus Est,-0.035217096847016405
Growth 2yr Low Est,0.04743153504198444
Growth 2yr High Est,0.11558216014484712
Growth 2yr Consensus Est,0.08150684759341578
Growth 5yr Low Est,0.05104370274366429
Growth 5yr High Est,0.08440704965417262
Growth 5yr Consensus Est,0.06772537619891845
Growth 5yr Actual/Est,0.0522710653119392
Growth 3yr Historic,0.013034170819570229
