,FHI
% Below High,0.053200000000000004
% Held by Institutions,0.8062
52-Wk Range,['27.88 - 39.82']
Annual Dividend $,1.08
Annual Dividend %,0.0286
Ask,38.04
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,37.7
Day Change $,0.24
Day Change %,0.0064
Day High,37.98
Day Low,37.2
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.76
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.31
Last (size),41.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",13.66
Prev Close,37.46
Shares Outstanding,89.0M
Short Interest,0.016399999999999998
Today's Open,37.75
Volume,98539.0
Volume 10-day Avg,615170.0
Volume Past Day,(Light)
