,SFBS
% Above Low,0.08960000000000001
% Held by Institutions,0.64
52-Wk Range,['68.55 - 97.25']
Annual Dividend $,0.92
Annual Dividend %,0.012
Ask,74.75
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.9
Bid,74.55
Bid Size,100.0
Day Change $,-1.89
Day Change %,-0.024700000000000003
Day High,76.43
Day Low,74.64
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.306
Last (size),1.0
Last (time),1:56p ET 11/28/22
Market Cap,4.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.58
Prev Close,76.58
Price,74.69
Shares Outstanding,54.3M
Short Interest,0.0435
Today's Open,76.43
Volume Past Day,(Light)
