,EXPE
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.04981549815498143
Growth 1yr High Est,0.23968253968253972
Growth 1yr Consensus Est,0.09493352076377914
Growth 2yr Low Est,0.23043205674775202
Growth 2yr High Est,0.3663201430807065
Growth 2yr Consensus Est,0.29837609991422925
Growth 5yr Low Est,0.11521602837387601
Growth 5yr High Est,0.18316007154035324
Growth 5yr Consensus Est,0.14918804995711463
Growth 5yr Actual/Est,0.010923173337757774
Growth 3yr Historic,-0.9038923458710669
