,EXPE
Price/Earnings (TTM),36.00504
Price/Sales (TTM),1.39859
Price/Book (MRQ),7.00337
Price/Cash Flow (TTM),11.71836
5yr Low,40.76
5yr High,217.72
5yr Avg Return,-0.0041333333333333395
EPS Growth 5yr,
Revenue Growth 5yr,-0.0040345
Dividend Growth 5yr,
Short Int Current Month,3933387.0
Short Int Prev Month,3941813.0
Short Int Pct of Float,0.026261100000000002
Days to Cover,1.13764
Float,149.8543
Shares Outstanding,156.0909
Institutions Holding Shares,977.0
% Held by Institutions,0.925466
FCF Growth 5yr,0.056324627222688904
