,HBAN
Price/Earnings (TTM),11.84867
Price/Sales (TTM),3.16819
Price/Book (MRQ),1.46885
Price/Cash Flow (TTM),9.41236
5yr Low,6.82
5yr High,17.79
5yr Avg Return,0.025150000000000006
EPS Growth 5yr,0.0495234
Revenue Growth 5yr,0.0974952
Dividend Growth 5yr,0.1646586
Short Int Current Month,51893810.0
Short Int Prev Month,50887835.0
Short Int Pct of Float,0.0363427
Days to Cover,2.99114
Float,1430.174
Shares Outstanding,1442.734
Institutions Holding Shares,1140.0
% Held by Institutions,0.7990980000000001
FCF Growth 5yr,0.36407388599151597
