,HBAN
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,1.076923076923077
Growth 1yr High Est,0.9342105263157894
Growth 1yr Consensus Est,1.0055668016194332
Growth 2yr Low Est,0.48290598290598297
Growth 2yr High Est,0.528329752953813
Growth 2yr Consensus Est,0.5056178679298979
Growth 5yr Low Est,0.12145299145299149
Growth 5yr High Est,0.1559559212530259
Growth 5yr Consensus Est,0.13870445635300868
Growth 5yr Actual/Est,0.13186322312477744
Growth 3yr Historic,-0.03808627182471752
