,HBAN
% Below High,0.1433
% Held by Institutions,0.7990999999999999
52-Wk Range,['11.67 - 17.79']
Annual Dividend $,0.62
Annual Dividend %,0.0407
Ask,15.3
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.1
Bid,15.15
Bid Size,300.0
Closing Price,15.24
Day Change $,0.07
Day Change %,0.0046
Day High,15.39
Day Low,15.16
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.29
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.349
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,22.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.85
Prev Close,15.17
Shares Outstanding,1.4B
Short Interest,0.0363
Today's Open,15.16
Volume,4746441.0
Volume 10-day Avg,13552720.0
Volume Past Day,(Light)
