,TUP
Price/Earnings (TTM),12.09733
Price/Sales (TTM),0.14182
Price/Book (MRQ),
Price/Cash Flow (TTM),3.17085
5yr Low,1.15
5yr High,66.26
5yr Avg Return,0.04470000000000002
EPS Growth 5yr,-0.07816340000000001
Revenue Growth 5yr,-0.06254900000000001
Dividend Growth 5yr,
Short Int Current Month,3245946.0
Short Int Prev Month,3348727.0
Short Int Pct of Float,0.0856837
Days to Cover,1.18513
Float,37.91671
Shares Outstanding,44.47803
Institutions Holding Shares,228.0
% Held by Institutions,0.6559
FCF Growth 5yr,-0.30726839464197364
