,BXC
% Above Low,0.1697
% Held by Institutions,0.8604999999999999
52-Wk Range,['57.50 - 100.01']
Annual Dividend $,
Annual Dividend %,
Ask,80.43
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,66.3
Bid Size,100.0
Closing Price,67.25
Day Change $,-0.83
Day Change %,-0.012199999999999999
Day High,69.27
Day Low,67.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",34.16
Ex-dividend Date,No dividend
Historical Volatility,0.675
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,608.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1.97
Prev Close,68.08
Shares Outstanding,9.0M
Short Interest,0.054299999999999994
Today's Open,68.4
Volume,17929.0
Volume 10-day Avg,73206.0
Volume Past Day,(Light)
