,BXC
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5876698707325159
Growth 2yr High Est,-0.5161090458488229
Growth 2yr Consensus Est,-0.5518894582906694
Growth 5yr Low Est,-0.5876698707325159
Growth 5yr High Est,-0.5161090458488229
Growth 5yr Consensus Est,-0.5518894582906694
Growth 5yr Actual/Est,-0.8837549591694241
Growth 3yr Historic,-0.7540517961570596
