,ALKS
Price/Earnings (TTM),
Price/Sales (TTM),3.51398
Price/Book (MRQ),3.81275
Price/Cash Flow (TTM),
5yr Low,11.98
5yr High,71.22
5yr Avg Return,-0.0819
EPS Growth 5yr,
Revenue Growth 5yr,0.0949721
Dividend Growth 5yr,
Short Int Current Month,9114035.0
Short Int Prev Month,8871507.0
Short Int Pct of Float,0.056391
Days to Cover,4.36416
Float,161.6433
Shares Outstanding,164.3124
Institutions Holding Shares,356.0
% Held by Institutions,0.978466
FCF Growth 5yr,-2.5927873714297367
