,DY
% Above Low,0.1996
% Held by Institutions,0.9442
52-Wk Range,['76.21 - 122.13']
Annual Dividend $,
Annual Dividend %,
Ask,93.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,75.01
Bid Size,100.0
Closing Price,91.42
Day Change $,-0.04
Day Change %,-0.0004
Day High,92.73
Day Low,89.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.94
Ex-dividend Date,No dividend
Historical Volatility,0.483
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.2
Prev Close,91.46
Shares Outstanding,29.6M
Short Interest,0.0433
Today's Open,90.76
Volume,232601.0
Volume 10-day Avg,689383.0
Volume Past Day,(Light)
