,DY
Price/Earnings (TTM),23.19786
Price/Sales (TTM),0.73979
Price/Book (MRQ),3.14696
Price/Cash Flow (TTM),10.2702
5yr Low,12.24
5yr High,123.99
5yr Avg Return,0.04091666666666666
Short Int Current Month,1231042.0
Short Int Prev Month,1259035.0
Short Int Pct of Float,0.0432862
Days to Cover,3.32283
Float,28.4323
Shares Outstanding,29.55666
Institutions Holding Shares,364.0
% Held by Institutions,0.944221
FCF Growth 5yr,-0.25915512771786986
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
