,MEI
% Below High,0.08650000000000001
% Held by Institutions,0.981
52-Wk Range,['33.91 - 49.94']
Annual Dividend $,0.56
Annual Dividend %,0.0123
Ask,50.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,18.96
Bid Size,100.0
Closing Price,45.62
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",2.52
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.319
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.11
Prev Close,45.62
Shares Outstanding,36.6M
Short Interest,0.0183
Today's Open,
Volume,73103.0
Volume 10-day Avg,147375.0
Volume Past Day,(Light)
