,NN
% Above Low,0.9188
% Held by Institutions,0.5357999999999999
52-Wk Range,['1.85 - 9.50']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,1.8
Bid Size,100.0
Closing Price,3.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.76
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,377.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.55
Shares Outstanding,106.4M
Short Interest,0.0489
Today's Open,
Volume,64793.0
Volume 10-day Avg,368803.0
Volume Past Day,(Light)
