,NN
Price/Earnings (TTM),
Price/Sales (TTM),120.1602
Price/Book (MRQ),3.89383
Price/Cash Flow (TTM),
5yr Low,1.85
5yr High,15.32
5yr Avg Return,-0.23446666666666668
Short Int Current Month,2764994.0
Short Int Prev Month,2790419.0
Short Int Pct of Float,0.048887
Days to Cover,7.94888
Float,56.20431
Shares Outstanding,106.3841
Institutions Holding Shares,91.0
% Held by Institutions,0.535777
FCF Growth 5yr,0.48706616312208606
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
