,XPOF
Price/Earnings (TTM),
Price/Sales (TTM),4.82574
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,9.87
5yr High,26.9
5yr Avg Return,0.43034999999999995
Short Int Current Month,1731644.0
Short Int Prev Month,1825018.0
Short Int Pct of Float,0.1118083
Days to Cover,5.11603
Float,24.95975
Shares Outstanding,49.21876
Institutions Holding Shares,127.0
% Held by Institutions,0.852611
FCF Growth 5yr,8.42240203816728
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
