,XPOF
% Below High,0.2011
% Held by Institutions,0.8526
52-Wk Range,['11.20 - 26.90']
Annual Dividend $,
Annual Dividend %,
Ask,21.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,21.24
Bid Size,100.0
Closing Price,21.49
Day Change $,-0.38
Day Change %,-0.0174
Day High,21.86
Day Low,21.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.711
Last (size),25.0
Last (time),7:00p ET 11/28/22
Market Cap,592.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,21.87
Shares Outstanding,27.6M
Short Interest,0.1118
Today's Open,21.86
Volume,120230.0
Volume 10-day Avg,239255.0
Volume Past Day,(Light)
