,PLAY
% Above Low,0.3052
% Held by Institutions,0.9676
52-Wk Range,['29.60 - 52.54']
Annual Dividend $,
Annual Dividend %,
Ask,38.66
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,38.6
Bid Size,100.0
Day Change $,-0.23
Day Change %,-0.0059
Day High,39.04
Day Low,38.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.68
Ex-dividend Date,No dividend
Historical Volatility,0.6409999999999999
Last (size),100.0
Last (time),10:57a ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.5
Prev Close,38.86
Price,38.63
Shares Outstanding,48.2M
Short Interest,0.1177
Today's Open,38.59
Volume Past Day,(Light)
