,PLAY
Price/Earnings (TTM),14.49957
Price/Sales (TTM),1.18595
Price/Book (MRQ),5.25869
Price/Cash Flow (TTM),6.87706
5yr Low,4.61
5yr High,67.05
5yr Avg Return,-0.02825000000000001
EPS Growth 5yr,0.010077899999999999
Revenue Growth 5yr,0.0534463
Dividend Growth 5yr,
Short Int Current Month,4919046.0
Short Int Prev Month,5271605.0
Short Int Pct of Float,0.11765629999999999
Days to Cover,4.032
Float,41.97252
Shares Outstanding,48.23568
Institutions Holding Shares,295.0
% Held by Institutions,0.967644
FCF Growth 5yr,0.07207908294638055
