,PLAY
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.013513513513513375
Growth 1yr High Est,0.29957805907172985
Growth 1yr Consensus Est,0.1565457862926216
Growth 2yr Low Est,0.17342342342342332
Growth 2yr High Est,0.308879938626774
Growth 2yr Consensus Est,0.24115168102509865
Growth 5yr Low Est,-0.9792422024842722
Growth 5yr High Est,-0.8742585875677891
Growth 5yr Consensus Est,-0.9267503950260306
Growth 5yr Actual/Est,-0.8763309971288968
Growth 3yr Historic,-1.0202273540995346
