,CDMO
% Above Low,0.3018
% Held by Institutions,1.0615999999999999
52-Wk Range,['11.30 - 32.36']
Annual Dividend $,
Annual Dividend %,
Ask,15.0
Ask Size,400.0
B/A Ratio,2.75
B/A Size,1100x400
Beta,1.8
Bid,13.45
Bid Size,1100.0
Closing Price,14.71
Day Change $,0.38
Day Change %,0.0265
Day High,14.87
Day Low,14.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.39
Ex-dividend Date,No dividend
Historical Volatility,0.667
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,914.5M
"P/E Ratio (TTM, GAAP)",10.59
Prev Close,14.33
Shares Outstanding,62.2M
Short Interest,0.08070000000000001
Today's Open,14.22
Volume,241846.0
Volume 10-day Avg,446880.0
Volume Past Day,(Light)
