,CDMO
Price/Earnings (TTM),10.59119
Price/Sales (TTM),7.28469
Price/Book (MRQ),5.10867
Price/Cash Flow (TTM),7.14423
5yr Low,2.24
5yr High,34.51
5yr Avg Return,0.38614999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.15721569999999999
Dividend Growth 5yr,
Short Int Current Month,4985778.0
Short Int Prev Month,4855155.0
Short Int Pct of Float,0.08074350000000001
Days to Cover,7.70864
Float,61.26177
Shares Outstanding,62.16745
Institutions Holding Shares,253.0
% Held by Institutions,1.061647
FCF Growth 5yr,
