,SO
% Above Low,0.0817
% Held by Institutions,0.62
52-Wk Range,['60.71 - 80.57']
Annual Dividend $,2.72
Annual Dividend %,0.0407
Ask,65.67
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,0.5
Bid,65.66
Bid Size,600.0
Day Change $,-1.24
Day Change %,-0.018500000000000003
Day High,66.77
Day Low,65.61
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",3.15
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.226
Last (size),70.0
Last (time),2:51p ET 11/28/22
Market Cap,71.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.25
Prev Close,66.91
Price,65.67
Shares Outstanding,1.1B
Short Interest,0.0079
Today's Open,66.41
Volume Past Day,(Light)
