,SO
Price/Earnings (TTM),21.24862
Price/Sales (TTM),2.60163
Price/Book (MRQ),2.33173
Price/Cash Flow (TTM),9.86766
5yr Low,41.96
5yr High,80.57
5yr Avg Return,0.05748333333333334
EPS Growth 5yr,-0.0259408
Revenue Growth 5yr,0.0304291
Dividend Growth 5yr,0.0334558
Short Int Current Month,8576041.0
Short Int Prev Month,9994102.0
Short Int Pct of Float,0.0078941
Days to Cover,1.97345
Float,1086.794
Shares Outstanding,1088.673
Institutions Holding Shares,1960.0
% Held by Institutions,0.620048
FCF Growth 5yr,-0.7903536515946703
