,SO
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.06666666666666665
Growth 1yr High Est,0.0674486803519061
Growth 1yr Consensus Est,0.06705767350928638
Growth 2yr Low Est,0.048958333333333326
Growth 2yr High Est,0.06943862589023875
Growth 2yr Consensus Est,0.05919847961178604
Growth 5yr Low Est,0.04662113496185688
Growth 5yr High Est,0.05665936414270634
Growth 5yr Consensus Est,0.05164024955228161
Growth 5yr Actual/Est,0.0492932111333822
Growth 3yr Historic,0.023561711600296797
