,CRL
% Above Low,0.3394
% Held by Institutions,0.9817
52-Wk Range,['181.36 - 385.11']
Annual Dividend $,
Annual Dividend %,
Ask,440.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,228.08
Bid Size,100.0
Closing Price,242.92
Day Change $,1.84
Day Change %,0.0076
Day High,243.27
Day Low,239.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.49
Ex-dividend Date,No dividend
Historical Volatility,0.44799999999999995
Last (size),1300.0
Last (time),5:00p ET 11/25/22
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.61
Prev Close,241.08
Shares Outstanding,50.9M
Short Interest,0.0192
Today's Open,241.03
Volume,124509.0
Volume 10-day Avg,581024.0
Volume Past Day,(Light)
