,CRL
Price/Earnings (TTM),28.6107
Price/Sales (TTM),3.2686
Price/Book (MRQ),4.70488
Price/Cash Flow (TTM),16.77233
5yr Low,95.58
5yr High,460.21
5yr Avg Return,0.20551666666666665
EPS Growth 5yr,0.1873845
Revenue Growth 5yr,0.160563
Dividend Growth 5yr,
Short Int Current Month,965254.0
Short Int Prev Month,1195092.0
Short Int Pct of Float,0.0191672
Days to Cover,1.27819
Float,50.36461
Shares Outstanding,50.87866
Institutions Holding Shares,816.0
% Held by Institutions,0.9817149999999999
FCF Growth 5yr,0.8623185344896193
