,CRL
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.06164383561643816
Growth 1yr High Est,0.06013579049466533
Growth 1yr Consensus Est,0.060889813055551745
Growth 2yr Low Est,0.039577678176882625
Growth 2yr High Est,0.08038811482647268
Growth 2yr Consensus Est,0.05998289650167765
Growth 5yr Low Est,0.1467149456448426
Growth 5yr High Est,0.16530463524120553
Growth 5yr Consensus Est,0.15600979044302407
Growth 5yr Actual/Est,0.14578351912928483
Growth 3yr Historic,0.11934911696813849
