,PPC
Price/Earnings (TTM),6.72108
Price/Sales (TTM),0.35484
Price/Book (MRQ),2.26088
Price/Cash Flow (TTM),4.58346
5yr Low,14.06
5yr High,38.39
5yr Avg Return,0.0764
EPS Growth 5yr,-0.4071275
Revenue Growth 5yr,0.08388
Dividend Growth 5yr,
Short Int Current Month,2470831.0
Short Int Prev Month,2067021.0
Short Int Pct of Float,0.0621318
Days to Cover,2.8211
Float,40.63413
Shares Outstanding,236.4694
Institutions Holding Shares,307.0
% Held by Institutions,0.168775
FCF Growth 5yr,-0.6821501550811896
