,PPC
% Above Low,0.2837
% Held by Institutions,0.16879999999999998
52-Wk Range,['20.23 - 34.66']
Annual Dividend $,
Annual Dividend %,
Ask,25.98
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.9
Bid,25.96
Bid Size,200.0
Day Change $,-0.11
Day Change %,-0.0042
Day High,26.01
Day Low,25.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.88
Ex-dividend Date,No dividend
Historical Volatility,0.35000000000000003
Last (size),100.0
Last (time),11:21a ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.72
Prev Close,26.08
Price,25.97
Shares Outstanding,236.5M
Short Interest,0.0621
Today's Open,25.95
Volume Past Day,(Light)
