,PPC
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.1741573033707864
Growth 1yr High Est,0.9672131147540983
Growth 1yr Consensus Est,1.0706852090624424
Growth 2yr Low Est,0.33901663618151723
Growth 2yr High Est,0.35131489071038247
Growth 2yr Consensus Est,0.34516576344594985
Growth 5yr Low Est,0.33901663618151723
Growth 5yr High Est,0.35131489071038247
Growth 5yr Consensus Est,0.34516576344594985
Growth 5yr Actual/Est,0.3245469156150827
Growth 3yr Historic,0.21623093681917202
