,ETSY
% Above Low,0.7954000000000001
% Held by Institutions,0.98
52-Wk Range,['67.01 - 307.75']
Annual Dividend $,
Annual Dividend %,
Ask,120.31
Ask Size,1900.0
B/A Ratio,0.42105263157894735
B/A Size,800x1900
Beta,1.7
Bid,118.92
Bid Size,800.0
Closing Price,120.31
Day Change $,0.32
Day Change %,0.0027
Day High,120.61
Day Low,117.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.45
Ex-dividend Date,No dividend
Historical Volatility,0.77
Last (size),59.0
Last (time),12:59p ET 11/25/22
Market Cap,15.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,119.99
Shares Outstanding,125.7M
Short Interest,0.1036
Today's Open,118.39
Volume,785031.0
Volume 10-day Avg,3374259.0
Volume Past Day,(Light)
