,ETSY
Price/Earnings (TTM),
Price/Sales (TTM),6.10723
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,16.13
5yr High,307.75
5yr Avg Return,0.7058666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4487299
Dividend Growth 5yr,
Short Int Current Month,12848021.0
Short Int Prev Month,12206261.0
Short Int Pct of Float,0.10362249999999999
Days to Cover,2.61791
Float,124.7514
Shares Outstanding,125.6883
Institutions Holding Shares,1020.0
% Held by Institutions,0.9800230000000001
FCF Growth 5yr,0.8396561196825996
