,FLR
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.16470588235294115
Growth 1yr High Est,0.1578947368421053
Growth 1yr Consensus Est,-0.0034055727554179183
Growth 2yr Low Est,0.4176470588235294
Growth 2yr High Est,0.5289473684210525
Growth 2yr Consensus Est,0.47329721362229094
Growth 5yr Low Est,-0.05843885889042866
Growth 5yr High Est,-0.010873167443689324
Growth 5yr Consensus Est,-0.034656013167058936
Growth 5yr Actual/Est,-0.3567630228114551
Growth 3yr Historic,-0.5595555760029445
