,FLR
Price/Earnings (TTM),
Price/Sales (TTM),0.36767
Price/Book (MRQ),2.93896
Price/Cash Flow (TTM),
5yr Low,2.85
5yr High,62.09
5yr Avg Return,0.010883333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.0816446
Dividend Growth 5yr,
Short Int Current Month,16751148.0
Short Int Prev Month,17508653.0
Short Int Pct of Float,0.1190775
Days to Cover,7.39018
Float,140.9034
Shares Outstanding,142.0883
Institutions Holding Shares,404.0
% Held by Institutions,0.955877
FCF Growth 5yr,0.7027473290666632
