,FLR
% Below High,0.014199999999999999
% Held by Institutions,0.9559000000000001
52-Wk Range,['19.80 - 34.62']
Annual Dividend $,
Annual Dividend %,
Ask,38.8
Ask Size,100.0
B/A Ratio,40.0
B/A Size,4000x100
Beta,2.4
Bid,26.0
Bid Size,4000.0
Closing Price,34.13
Day Change $,0.37
Day Change %,0.011000000000000001
Day High,34.27
Day Low,33.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.53
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,33.76
Shares Outstanding,142.1M
Short Interest,0.1191
Today's Open,33.73
Volume,453084.0
Volume 10-day Avg,1312001.0
Volume Past Day,(Light)
