,KEY
Price/Earnings (TTM),8.71548
Price/Sales (TTM),2.43344
Price/Book (MRQ),1.6454
Price/Cash Flow (TTM),7.80071
5yr Low,7.45
5yr High,27.17
5yr Avg Return,0.034199999999999994
EPS Growth 5yr,0.2667996
Revenue Growth 5yr,0.0564165
Dividend Growth 5yr,0.17844539999999998
Short Int Current Month,17846403.0
Short Int Prev Month,18122557.0
Short Int Pct of Float,0.0192069
Days to Cover,1.60385
Float,929.5906
Shares Outstanding,932.9696
Institutions Holding Shares,1094.0
% Held by Institutions,0.828832
FCF Growth 5yr,0.8049449711108027
