,KEY
% Above Low,0.23399999999999999
% Held by Institutions,0.8288
52-Wk Range,['15.26 - 27.17']
Annual Dividend $,0.82
Annual Dividend %,0.0431
Ask,19.08
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,18.99
Bid Size,200.0
Closing Price,18.83
Day Change $,-0.095
Day Change %,-0.005
Day High,19.09
Day Low,18.98
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.18
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.359
Last (size),562.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.72
Prev Close,18.92
Shares Outstanding,933.0M
Short Interest,0.0192
Today's Open,19.06
Volume,2839933.0
Volume 10-day Avg,10788994.0
Volume Past Day,(Light)
