,DSEY
% Above Low,0.27340000000000003
% Held by Institutions,0.9611
52-Wk Range,['3.95 - 14.28']
Annual Dividend $,
Annual Dividend %,
Ask,6.75
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,2.02
Bid Size,200.0
Closing Price,5.03
Day Change $,0.0
Day Change %,0.0
Day High,5.07
Day Low,4.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,0.626
Last (size),37.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.03
Shares Outstanding,324.3M
Short Interest,0.0325
Today's Open,5.02
Volume,83780.0
Volume 10-day Avg,855839.0
Volume Past Day,(Light)
