,DSEY
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.30952380952380953
Growth 1yr High Est,-0.35185185185185197
Growth 1yr Consensus Est,-0.33068783068783075
Growth 2yr Low Est,-0.08579638752052543
Growth 2yr High Est,0.10978835978835982
Growth 2yr Consensus Est,0.011995986133917197
Growth 5yr Low Est,-0.08579638752052543
Growth 5yr High Est,0.10978835978835982
Growth 5yr Consensus Est,0.011995986133917197
Growth 5yr Actual/Est,-0.008374689826302795
Growth 3yr Historic,0.0
