,DSEY
Price/Earnings (TTM),
Price/Sales (TTM),0.59609
Price/Book (MRQ),2.44905
Price/Cash Flow (TTM),42.2619
5yr Low,3.95
5yr High,18.61
5yr Avg Return,-0.3195
Short Int Current Month,2510771.0
Short Int Prev Month,3536111.0
Short Int Pct of Float,0.0325215
Days to Cover,2.31367
Float,313.7645
Shares Outstanding,324.3159
Institutions Holding Shares,139.0
% Held by Institutions,0.9610890000000001
FCF Growth 5yr,0.986582712389164
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
