,NOC
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.03543307086614167
Growth 1yr High Est,-0.049523809523809526
Growth 1yr Consensus Est,-0.0424784401949756
Growth 2yr Low Est,-0.09424714767796877
Growth 2yr High Est,0.01932627159080058
Growth 2yr Consensus Est,-0.03746043804358409
Growth 5yr Low Est,0.013557036905016834
Growth 5yr High Est,0.0741011994368927
Growth 5yr Consensus Est,0.043829118170954764
Growth 5yr Actual/Est,0.019437008147562357
Growth 3yr Historic,0.04969025141716826
