,NOC
% Below High,0.051100000000000007
% Held by Institutions,0.8271
52-Wk Range,['345.91 - 556.27']
Annual Dividend $,6.92
Annual Dividend %,0.0131
Ask,550.0
Ask Size,700.0
B/A Ratio,1.0
B/A Size,700x700
Beta,0.6
Bid,508.27
Bid Size,700.0
Change Since Close,-0.02| |(0.00%)
Closing Price,527.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",35.18
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.313
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,527.81
Market Cap,81.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.0
Prev Close,527.83
Shares Outstanding,153.9M
Short Interest,0.012199999999999999
Today's Open,
Volume,10.0
Volume 10-day Avg,1160301.0
Volume Past Day,(Light)
