,NOC
Price/Earnings (TTM),15.00179
Price/Sales (TTM),2.30741
Price/Book (MRQ),5.83341
Price/Cash Flow (TTM),11.91719
5yr Low,223.63
5yr High,556.27
5yr Avg Return,0.12348333333333335
EPS Growth 5yr,0.30921869999999996
Revenue Growth 5yr,0.07619959999999999
Dividend Growth 5yr,0.1197022
Short Int Current Month,1877676.0
Short Int Prev Month,2599420.0
Short Int Pct of Float,0.0122305
Days to Cover,1.42517
Float,153.5739
Shares Outstanding,153.9122
Institutions Holding Shares,1654.0
% Held by Institutions,0.827093
FCF Growth 5yr,-0.5277925645467746
