,PANW
Price/Earnings (TTM),
Price/Sales (TTM),8.97949
Price/Book (MRQ),102.8118
Price/Cash Flow (TTM),370.7467
5yr Low,41.82
5yr High,213.63
5yr Avg Return,0.25535
EPS Growth 5yr,
Revenue Growth 5yr,0.2567123
Dividend Growth 5yr,
Short Int Current Month,20573923.0
Short Int Prev Month,21967330.0
Short Int Pct of Float,0.0691627
Days to Cover,3.69658
Float,297.7238
Shares Outstanding,302.3569
Institutions Holding Shares,1792.0
% Held by Institutions,0.834161
FCF Growth 5yr,0.13492459474070842
