,PANW
% Above Low,0.23010000000000003
% Held by Institutions,0.8342
52-Wk Range,['140.08 - 213.63']
Annual Dividend $,
Annual Dividend %,
Ask,172.42
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,172.18
Bid Size,200.0
Day Change $,-0.47
Day Change %,-0.0027
Day High,173.89
Day Low,171.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.49
Ex-dividend Date,No dividend
Historical Volatility,0.488
Last (size),34.0
Last (time),10:01a ET 11/28/22
Market Cap,52.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,172.77
Price,172.3
Shares Outstanding,302.4M
Short Interest,0.0692
Today's Open,172.04
Volume Past Day,(Light)
