,SLGN
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.1837349397590362
Growth 1yr High Est,0.18100890207715126
Growth 1yr Consensus Est,0.18237192091809373
Growth 2yr Low Est,0.09441199914160459
Growth 2yr High Est,0.14954967716922896
Growth 2yr Consensus Est,0.12198083815541677
Growth 5yr Low Est,0.1727721697089159
Growth 5yr High Est,0.20238683526059847
Growth 5yr Consensus Est,0.1875795024847572
Growth 5yr Actual/Est,0.18314511458591876
Growth 3yr Historic,0.13194444444444442
