,SLGN
Price/Earnings (TTM),14.70613
Price/Sales (TTM),0.91414
Price/Book (MRQ),3.45701
Price/Cash Flow (TTM),8.75733
5yr Low,22.24
5yr High,53.8
5yr Avg Return,0.1272666666666667
EPS Growth 5yr,0.2047665
Revenue Growth 5yr,0.094596
Dividend Growth 5yr,0.104948
Short Int Current Month,1717028.0
Short Int Prev Month,1931701.0
Short Int Pct of Float,0.020678899999999997
Days to Cover,5.26131
Float,83.10785
Shares Outstanding,110.079
Institutions Holding Shares,339.0
% Held by Institutions,0.704772
FCF Growth 5yr,-0.677346491763767
