,SLGN
% Below High,0.0297
% Held by Institutions,0.7048000000000001
52-Wk Range,['38.59 - 53.80']
Annual Dividend $,0.64
Annual Dividend %,0.0121
Ask,52.26
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,52.22
Bid Size,300.0
Day Change $,-0.91
Day Change %,-0.0171
Day High,53.08
Day Low,52.18
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.61
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24600000000000002
Last (size),10.0
Last (time),2:32p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.71
Prev Close,53.11
Price,52.2
Shares Outstanding,110.1M
Short Interest,0.0207
Today's Open,52.71
Volume Past Day,(Light)
