,ZM
Price/Earnings (TTM),33.38174
Price/Sales (TTM),5.07096
Price/Book (MRQ),3.82933
Price/Cash Flow (TTM),28.78172
5yr Low,59.94
5yr High,588.84
5yr Avg Return,0.719525
EPS Growth 5yr,
Revenue Growth 5yr,1.321394
Dividend Growth 5yr,
Short Int Current Month,14484911.0
Short Int Prev Month,15782284.0
Short Int Pct of Float,0.0674516
Days to Cover,3.80997
Float,214.78
Shares Outstanding,292.3222
Institutions Holding Shares,956.0
% Held by Institutions,0.612481
FCF Growth 5yr,0.05568541433138544
