,ZM
% Above Low,0.016399999999999998
% Held by Institutions,0.6125
52-Wk Range,['70.44 - 221.41']
Annual Dividend $,
Annual Dividend %,
Ask,71.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,-0.3
Bid,71.71
Bid Size,100.0
Closing Price,71.59
Day Change $,-3.81
Day Change %,-0.050499999999999996
Day High,76.5
Day Low,71.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.26
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,20.9B
"P/E Ratio (TTM, GAAP)",33.38
Prev Close,75.4
Shares Outstanding,292.3M
Short Interest,0.0675
Today's Open,74.72
Volume,6250485.0
Volume 10-day Avg,5135933.0
Volume Past Day,(Heavy Day)
