,HCC
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.2557692307692307
Growth 1yr High Est,1.6517690875232773
Growth 1yr Consensus Est,1.453769159146254
Growth 2yr Low Est,0.27195963669748835
Growth 2yr High Est,0.5769379145481555
Growth 2yr Consensus Est,0.4244487756228219
Growth 5yr Low Est,0.13597981834874417
Growth 5yr High Est,0.28846895727407773
Growth 5yr Consensus Est,0.21222438781141095
Growth 5yr Actual/Est,-1.8179499919299384
Growth 3yr Historic,-2.1594735720375104
