,HCC
% Below High,0.17370000000000002
% Held by Institutions,0.9821
52-Wk Range,['20.25 - 42.95']
Annual Dividend $,0.24
Annual Dividend %,0.0068000000000000005
Ask,35.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,20.08
Bid Size,100.0
Closing Price,35.49
Day Change $,0.31
Day Change %,0.0088
Day High,35.9
Day Low,35.2
Dividend Pay Date,2022-11-11 00:00:00
"EPS (TTM, GAAP)",13.16
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.521
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.7
Prev Close,35.18
Shares Outstanding,51.7M
Short Interest,0.0654
Today's Open,35.38
Volume,111858.0
Volume 10-day Avg,629347.0
Volume Past Day,(Light)
