,CAH
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.01553398058252431
Growth 1yr High Est,0.05950095969289815
Growth 1yr Consensus Est,0.03751747013771123
Growth 2yr Low Est,0.06990848168705555
Growth 2yr High Est,0.13301134941166648
Growth 2yr Consensus Est,0.10145991554936101
Growth 5yr Low Est,0.03592889971292351
Growth 5yr High Est,0.05815688064275348
Growth 5yr Consensus Est,0.0470428901778385
Growth 5yr Actual/Est,0.040982165954021266
Growth 3yr Historic,-0.01738589758371356
