,CAH
% Below High,0.0321
% Held by Institutions,0.8911
52-Wk Range,['45.85 - 81.57']
Annual Dividend $,1.98
Annual Dividend %,0.025099999999999997
Ask,88.34
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,72.0
Bid Size,100.0
Closing Price,78.95
Day Change $,0.51
Day Change %,0.006500000000000001
Day High,79.72
Day Low,78.5
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",-3.98
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.266
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,20.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,78.44
Shares Outstanding,262.1M
Short Interest,0.032799999999999996
Today's Open,79.01
Volume,1118711.0
Volume 10-day Avg,3101555.0
Volume Past Day,(Light)
