,CAH
Price/Earnings (TTM),
Price/Sales (TTM),0.11067
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,39.05
5yr High,81.57
5yr Avg Return,0.08406666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.0689012
Dividend Growth 5yr,0.0180075
Short Int Current Month,8550414.0
Short Int Prev Month,11919382.0
Short Int Pct of Float,0.0327588
Days to Cover,2.21512
Float,261.1191
Shares Outstanding,262.1341
Institutions Holding Shares,1153.0
% Held by Institutions,0.8910819999999999
FCF Growth 5yr,58.254807251979344
