,KEYS
% Below High,0.1553
% Held by Institutions,0.8390000000000001
52-Wk Range,['127.93 - 209.08']
Annual Dividend $,
Annual Dividend %,
Ask,180.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,155.19
Bid Size,100.0
Closing Price,176.62
Day Change $,0.58
Day Change %,0.0033
Day High,177.25
Day Low,175.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.18
Ex-dividend Date,No dividend
Historical Volatility,0.33799999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,31.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.57
Prev Close,176.04
Shares Outstanding,178.5M
Short Interest,0.0175
Today's Open,176.5
Volume,413623.0
Volume 10-day Avg,973466.0
Volume Past Day,(Light)
