,KEYS
Price/Earnings (TTM),28.56579
Price/Sales (TTM),5.81673
Price/Book (MRQ),7.57671
Price/Cash Flow (TTM),23.4051
5yr Low,41.33
5yr High,209.08
5yr Avg Return,0.2968
EPS Growth 5yr,0.6159693
Revenue Growth 5yr,0.1119083
Dividend Growth 5yr,
Short Int Current Month,3099131.0
Short Int Prev Month,3047946.0
Short Int Pct of Float,0.0174862
Days to Cover,3.08137
Float,177.4205
Shares Outstanding,178.5
Institutions Holding Shares,1245.0
% Held by Institutions,0.838951
FCF Growth 5yr,0.7816918596997519
